run,dataset,class_name,prompt,content
1,CIFAR10,airplane,"Use 10 sentences to describe the what the airplane looks like:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane gleamed under the midday sun, its fuselage a pristine, polished silver.</sentence>
<sentence>Two massive, swept-back wings extended from its sides, catching the light with their metallic sheen.</sentence>
<sentence>At the very rear, two powerful jet engines were mounted beneath the horizontal stabilizers, housing their dark, circular intakes.</sentence>
<sentence>The tail fin, a bold vertical structure, proudly displayed a vibrant airline logo.</sentence>
<sentence>Below, a set of sturdy landing gear with multiple wheels was neatly tucked away, ready for deployment.</sentence>
<sentence>Numerous windows, small and uniformly spaced, dotted the length of the cabin, hinting at the passengers within.</sentence>
<sentence>The nose cone was sharply pointed, designed for aerodynamic efficiency and giving the aircraft an assertive presence.</sentence>
<sentence>A faint blue stripe ran along the side of the fuselage, adding a subtle touch of color to the metallic expanse.</sentence>
<sentence>The overall silhouette was sleek and elongated, a testament to modern engineering and design.</sentence>
<sentence>From this perspective, the airplane appeared to be a magnificent silver bird, poised for its next journey through the sky.</sentence>"
1,CIFAR10,airplane,"Use 10 sentences to describe the the appearance of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The aircraft was a sleek, silvery bird poised for flight.</sentence>
<sentence>Its fuselage stretched long and slender, tapering towards the tail.</sentence>
<sentence>Two powerful jet engines were mounted beneath broad, swept-back wings.</sentence>
<sentence>The wings themselves gleamed, their leading edges sharp and aerodynamic.</sentence>
<sentence>A tall, vertical stabilizer rose from the rear, painted with bold, company insignia.</sentence>
<sentence>Two smaller horizontal stabilizers extended from the fuselage, adding to its balanced silhouette.</sentence>
<sentence>Numerous small windows lined the sides of the cabin, hinting at the passengers within.</sentence>
<sentence>The landing gear, sturdy and robust, retracted neatly into the underbelly.</sentence>
<sentence>Its nose cone was a smooth, pointed dome, housing advanced radar equipment.</sentence>
<sentence>The overall impression was one of advanced engineering and effortless speed.</sentence>"
1,CIFAR10,airplane,"Use 10 sentences to describe the the color of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane gleamed under the midday sun, a canvas of polished aluminum.</sentence>
<sentence>Its fuselage was a smooth, unblemished silver, reflecting the sky like a vast mirror.</sentence>
<sentence>Subtle hints of blue seemed to emerge from the metallic sheen as its angles shifted.</sentence>
<sentence>The wings caught the light in broad, sweeping strokes of pure, cool silver.</sentence>
<sentence>Even in the shadow, a dull, steely gray persisted, hinting at its robust construction.</sentence>
<sentence>The aircraft possessed a color that spoke of speed and efficiency, a metallic whisper against the clouds.</sentence>
<sentence>There were no vibrant hues, only the sophisticated, understated elegance of polished metal.</sentence>
<sentence>It was the color of moonlight on a calm sea, serene and captivating.</sentence>
<sentence>The metal's surface was so refined that it appeared almost liquid, flowing with light.</sentence>
<sentence>Overall, the airplane was a masterpiece of metallic splendor, a testament to its engineering and design.</sentence>"
1,CIFAR10,airplane,"Use 10 sentences to describe the the pattern of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane's pattern is a series of repeating geometric shapes.</sentence>
<sentence>Primarily, it features a sequence of interlocking triangles and squares.</sentence>
<sentence>These shapes are outlined in a bold, dark blue against a lighter base.</sentence>
<sentence>Interspersed between the geometric forms are smaller, stylized wing-like motifs.</sentence>
<sentence>The overall impression is one of dynamic movement and aerial grace.</sentence>
<sentence>There's a clear symmetry in the placement of these elements, creating visual balance.</sentence>
<sentence>The pattern progresses along the fuselage with a consistent rhythm.</sentence>
<sentence>Occasional circular accents are integrated, adding a touch of softness.</sentence>
<sentence>The contrast between the colors is sharp and defined, making the pattern stand out.</sentence>
<sentence>This design conveys a sense of precision and modern aviation technology.</sentence>"
1,CIFAR10,airplane,"Use 10 sentences to describe the the shape of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane possesses a sleek, aerodynamic fuselage, tapering towards the tail.</sentence>
<sentence>Two long, slender wings extend horizontally from its sides, providing lift.</sentence>
<sentence>These wings are typically swept back, giving the aircraft a dynamic appearance.</sentence>
<sentence>At the rear, a vertical stabilizer, or tail fin, stands tall, ensuring directional stability.</sentence>
<sentence>Horizontal stabilizers, smaller wings, are mounted at the tail's base for pitch control.</sentence>
<sentence>Beneath the fuselage, a landing gear system, usually consisting of wheels, allows for ground movement.</sentence>
<sentence>Engines, often mounted on the wings or in pods beneath them, drive the aircraft forward.</sentence>
<sentence>The cockpit, situated at the front, houses the pilots and controls.</sentence>
<sentence>Its overall form is designed to minimize drag and maximize efficiency through the air.</sentence>
<sentence>The combination of these elements creates a distinctive silhouette that is instantly recognizable as an airplane.</sentence>"
1,CIFAR10,automobile,"Use 10 sentences to describe the what the automobile looks like:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile boasts a sleek, aerodynamic silhouette that hints at speed and efficiency.</sentence>
<sentence>Its exterior is finished in a deep, shimmering obsidian black, reflecting the ambient light with a polished gleam.</sentence>
<sentence>Sharp, angular lines define the bodywork, giving it a modern and aggressive stance.</sentence>
<sentence>Large, multi-spoke alloy wheels, finished in a contrasting brushed aluminum, fill the wheel arches.</sentence>
<sentence>The front fascia is dominated by a bold grille and piercing LED headlights that slice through the darkness.</sentence>
<sentence>A sculpted hood features subtle creases that guide the eye towards the windshield.</sentence>
<sentence>The side profile reveals a gracefully sloping roofline that seamlessly integrates into the rear spoiler.</sentence>
<sentence>Tinted windows offer a degree of privacy while adding to the car's mysterious allure.</sentence>
<sentence>Chrome accents strategically placed around the windows and exhaust tips provide subtle highlights.</sentence>
<sentence>The overall impression is one of sophisticated power and refined design, an object of both function and art.</sentence>"
1,CIFAR10,automobile,"Use 10 sentences to describe the the appearance of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile gleamed under the midday sun, its polished obsidian black paint reflecting the sky like a dark mirror.</sentence>
<sentence>Its silhouette was low and aggressive, hugging the ground with a purposeful stance.</sentence>
<sentence>Sharp, angular lines sculpted the bodywork, hinting at both aerodynamic efficiency and raw power.</sentence>
<sentence>The headlights, narrow and predatory, featured integrated LED daytime running lights that gave it a piercing gaze.</sentence>
<sentence>Chrome accents, subtle yet impactful, outlined the windows and framed the distinctive grille.</sentence>
<sentence>Large, multi-spoke alloy wheels, finished in a dark gunmetal grey, filled the wheel arches perfectly.</sentence>
<sentence>The rear of the car featured a sculpted diffuser and a quad-tip exhaust system, promising an exhilarating auditory experience.</sentence>
<sentence>A discreet spoiler, integrated seamlessly into the trunk lid, added to its performance-oriented aesthetic.</sentence>
<sentence>The doors were flush-mounted, contributing to the sleek, unbroken flow of its design.</sentence>
<sentence>Even at a standstill, the automobile exuded an aura of speed and sophisticated aggression, a testament to its striking design.</sentence>"
1,CIFAR10,automobile,"Use 10 sentences to describe the the color of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile gleamed with a deep, lustrous obsidian.</sentence>
<sentence>It was a black so profound it seemed to absorb the very light around it.</sentence>
<sentence>Underneath the bright sun, subtle hints of midnight blue occasionally flickered across its curved surfaces.</sentence>
<sentence>The paint possessed a mirror-like quality, reflecting the sky and passing clouds with astonishing clarity.</sentence>
<sentence>In the shade, it transformed into an inky void, almost blending seamlessly with the shadows.</sentence>
<sentence>A fine layer of dust settled lightly on some areas, muting its otherwise intense darkness.</sentence>
<sentence>The chrome accents provided a stark, metallic contrast to the car's overwhelmingly dark hue.</sentence>
<sentence>It was a sophisticated and powerful shade, exuding an air of mystery and elegance.</sentence>
<sentence>Even in dim light, the car's blackness retained a certain depth, avoiding a flat or dull appearance.</sentence>
<sentence>This was not just any black; it was a rich, velvety black that promised speed and sophistication.</sentence>"
1,CIFAR10,automobile,"Use 10 sentences to describe the the pattern of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile exhibits a distinct pattern that has evolved significantly over its history.</sentence>
<sentence>Early automobiles were often boxy and utilitarian, prioritizing function over form.</sentence>
<sentence>Aerodynamics began to influence design, leading to sleeker, more curved silhouettes.</sentence>
<sentence>Distinctive grilles and headlight configurations became key identifying features for different makes and models.</sentence>
<sentence>The integration of technology has visibly altered the car's external and internal patterns, with screens and sensors now commonplace.</sentence>
<sentence>Body styles have diversified, from the rigid lines of sedans to the more flowing shapes of SUVs and coupes.</sentence>
<sentence>The placement and design of doors, wheels, and windows follow established conventions for usability and aesthetics.</sentence>
<sentence>Color palettes and material finishes add another layer to the observable pattern of automotive design.</sentence>
<sentence>Modern vehicles often display a pattern of sharp angles and aggressive lines, communicating performance and modernity.</sentence>
<sentence>Ultimately, the automobile's pattern is a complex interplay of engineering, culture, and changing consumer desires.</sentence>"
1,CIFAR10,automobile,"Use 10 sentences to describe the the shape of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile possesses a sleek, aerodynamic silhouette designed to cut through the wind efficiently.</sentence>
<sentence>Its front end is characterized by a bold grille and sharp, angular headlights that give it an aggressive presence.</sentence>
<sentence>The body panels flow smoothly from the hood to the rear, exhibiting a muscular and sculpted form.</sentence>
<sentence>A gently sloping roofline tapers towards the back, creating a coupe-like appearance.</sentence>
<sentence>The sides feature prominent character lines that add depth and dynamism to its profile.</sentence>
<sentence>Large, stylish wheels are nestled within well-defined wheel arches, contributing to its athletic stance.</sentence>
<sentence>The rear of the car boasts distinctive taillights that wrap around the corners, a common feature in modern automotive design.</sentence>
<sentence>A subtle spoiler integrated into the trunk lid enhances both aesthetics and downforce.</sentence>
<sentence>The overall shape conveys a sense of speed, sophistication, and modern engineering.</sentence>
<sentence>From every angle, its carefully crafted contours create a visually compelling automotive form.</sentence>"
