run,dataset,class_name,prompt,content
1,CUB,black footed albatross,"List the most important features for recognizing something as a ""goldfish"":
    <tag>bright orange color</tag>
    <tag>a small,round body</tag>
    <tag>a long flowing tail</tag>
    <tag>a small mouth</tag>
    <tag>orange fins</tag>

    List the most important features for recognizing something as a ""scuba diver"":
    <tag>a person wearing a scuba mask and breathing apparatus</tag>
    <tag>a wetsuit</tag>
    <tag>flippers</tag>
    <tag>diving tank</tag>

    List the most important features for recognizing something as a black footed albatross:
    

    Your output should be in the following format:
    <tag>feature 1</tag>
    <tag>feature 2</tag>
    ...
    <tag>feature n</tag>","<tag>large seabird</tag>
<tag>dark grey or black plumage</tag>
<tag>pale grey or white underwings</tag>
<tag>black feet</tag>
<tag>long, narrow wings</tag>"
1,CUB,black footed albatross,"List the things most commonly seen around a ""tench"":
    <tag>a pond</tag>
    <tag>fish</tag>
    <tag>a net</tag>
    <tag>a rod</tag>
    <tag>a reel</tag>
    <tag>a hook</tag>
    <tag>bait</tag>

    List the things most commonly seen around a ""mountain"":
    <tag>a peak</tag>
    <tag>a valley</tag>
    <tag>a forest</tag>
    <tag>rocks</tag>
    <tag>dirt</tag>
    <tag>a trail</tag>
    <tag>animals</tag>

    List the things most commonly seen around a black footed albatross:
    

    Your output should be in the following format:
    <tag>feature 1</tag>
    <tag>feature 2</tag>
    ...
    <tag>feature n</tag>","<tag>the ocean</tag>
<tag>the coast</tag>
<tag>a cliff</tag>
<tag>fish</tag>
<tag>plankton</tag>
<tag>sea birds</tag>
<tag>island</tag>"
1,CUB,black footed albatross,"Give superclasses for the word ""tench"":
    <tag>fish</tag>
    <tag>vertebrate</tag>
    <tag>animal</tag>

    Give superclasses for the word ""grasshopper"":
    <tag>insect</tag>
    <tag>arthropod</tag>
    <tag>animal</tag>

    Give superclasses for the word black footed albatross:
    

    Your output should be in the following format:
    <tag>feature 1</tag>
    <tag>feature 2</tag>
    ...
    <tag>feature n</tag>","<tag>bird</tag>
<tag>vertebrate</tag>
<tag>animal</tag>"
1,CUB,laysan albatross,"List the most important features for recognizing something as a ""goldfish"":
    <tag>bright orange color</tag>
    <tag>a small,round body</tag>
    <tag>a long flowing tail</tag>
    <tag>a small mouth</tag>
    <tag>orange fins</tag>

    List the most important features for recognizing something as a ""scuba diver"":
    <tag>a person wearing a scuba mask and breathing apparatus</tag>
    <tag>a wetsuit</tag>
    <tag>flippers</tag>
    <tag>diving tank</tag>

    List the most important features for recognizing something as a laysan albatross:
    

    Your output should be in the following format:
    <tag>feature 1</tag>
    <tag>feature 2</tag>
    ...
    <tag>feature n</tag>","<tag>large size with a wingspan of over 7 feet</tag>
<tag>grayish-brown back and wings</tag>
<tag>white underparts</tag>
<tag>pinkish legs and feet</tag>
<tag>dark eyes</tag>"
1,CUB,laysan albatross,"List the things most commonly seen around a ""tench"":
    <tag>a pond</tag>
    <tag>fish</tag>
    <tag>a net</tag>
    <tag>a rod</tag>
    <tag>a reel</tag>
    <tag>a hook</tag>
    <tag>bait</tag>

    List the things most commonly seen around a ""mountain"":
    <tag>a peak</tag>
    <tag>a valley</tag>
    <tag>a forest</tag>
    <tag>rocks</tag>
    <tag>dirt</tag>
    <tag>a trail</tag>
    <tag>animals</tag>

    List the things most commonly seen around a laysan albatross:
    

    Your output should be in the following format:
    <tag>feature 1</tag>
    <tag>feature 2</tag>
    ...
    <tag>feature n</tag>","    <tag>an island</tag>
    <tag>a nest</tag>
    <tag>eggs</tag>
    <tag>chicks</tag>
    <tag>ocean</tag>
    <tag>fish</tag>
    <tag>a mate</tag>"
1,CUB,laysan albatross,"Give superclasses for the word ""tench"":
    <tag>fish</tag>
    <tag>vertebrate</tag>
    <tag>animal</tag>

    Give superclasses for the word ""grasshopper"":
    <tag>insect</tag>
    <tag>arthropod</tag>
    <tag>animal</tag>

    Give superclasses for the word laysan albatross:
    

    Your output should be in the following format:
    <tag>feature 1</tag>
    <tag>feature 2</tag>
    ...
    <tag>feature n</tag>","<tag>bird</tag>
<tag>vertebrate</tag>
<tag>animal</tag>"
1,CUB,sooty albatross,"List the most important features for recognizing something as a ""goldfish"":
    <tag>bright orange color</tag>
    <tag>a small,round body</tag>
    <tag>a long flowing tail</tag>
    <tag>a small mouth</tag>
    <tag>orange fins</tag>

    List the most important features for recognizing something as a ""scuba diver"":
    <tag>a person wearing a scuba mask and breathing apparatus</tag>
    <tag>a wetsuit</tag>
    <tag>flippers</tag>
    <tag>diving tank</tag>

    List the most important features for recognizing something as a sooty albatross:
    

    Your output should be in the following format:
    <tag>feature 1</tag>
    <tag>feature 2</tag>
    ...
    <tag>feature n</tag>","<tag>large size</tag>
<tag>dark grey plumage</tag>
<tag>white undertail coverts</tag>
<tag>stocky build</tag>
<tag>broad wings</tag>"
1,CUB,sooty albatross,"List the things most commonly seen around a ""tench"":
    <tag>a pond</tag>
    <tag>fish</tag>
    <tag>a net</tag>
    <tag>a rod</tag>
    <tag>a reel</tag>
    <tag>a hook</tag>
    <tag>bait</tag>

    List the things most commonly seen around a ""mountain"":
    <tag>a peak</tag>
    <tag>a valley</tag>
    <tag>a forest</tag>
    <tag>rocks</tag>
    <tag>dirt</tag>
    <tag>a trail</tag>
    <tag>animals</tag>

    List the things most commonly seen around a sooty albatross:
    

    Your output should be in the following format:
    <tag>feature 1</tag>
    <tag>feature 2</tag>
    ...
    <tag>feature n</tag>","<tag>the ocean</tag>
<tag>the sky</tag>
<tag>fish</tag>
<tag>seabirds</tag>
<tag>a nest</tag>
<tag>eggs</tag>
<tag>the wind</tag>"
1,CUB,sooty albatross,"Give superclasses for the word ""tench"":
    <tag>fish</tag>
    <tag>vertebrate</tag>
    <tag>animal</tag>

    Give superclasses for the word ""grasshopper"":
    <tag>insect</tag>
    <tag>arthropod</tag>
    <tag>animal</tag>

    Give superclasses for the word sooty albatross:
    

    Your output should be in the following format:
    <tag>feature 1</tag>
    <tag>feature 2</tag>
    ...
    <tag>feature n</tag>","<tag>bird</tag>
<tag>vertebrate</tag>
<tag>animal</tag>"
1,CUB,groove billed ani,"List the most important features for recognizing something as a ""goldfish"":
    <tag>bright orange color</tag>
    <tag>a small,round body</tag>
    <tag>a long flowing tail</tag>
    <tag>a small mouth</tag>
    <tag>orange fins</tag>

    List the most important features for recognizing something as a ""scuba diver"":
    <tag>a person wearing a scuba mask and breathing apparatus</tag>
    <tag>a wetsuit</tag>
    <tag>flippers</tag>
    <tag>diving tank</tag>

    List the most important features for recognizing something as a groove billed ani:
    

    Your output should be in the following format:
    <tag>feature 1</tag>
    <tag>feature 2</tag>
    ...
    <tag>feature n</tag>","<tag>black plumage with a bluish or greenish iridescence</tag>
<tag>a large, prominent, and distinctly grooved beak</tag>
<tag>a long, graduated tail</tag>
<tag>slender build</tag>
<tag>lives in flocks</tag>"
1,CUB,groove billed ani,"List the things most commonly seen around a ""tench"":
    <tag>a pond</tag>
    <tag>fish</tag>
    <tag>a net</tag>
    <tag>a rod</tag>
    <tag>a reel</tag>
    <tag>a hook</tag>
    <tag>bait</tag>

    List the things most commonly seen around a ""mountain"":
    <tag>a peak</tag>
    <tag>a valley</tag>
    <tag>a forest</tag>
    <tag>rocks</tag>
    <tag>dirt</tag>
    <tag>a trail</tag>
    <tag>animals</tag>

    List the things most commonly seen around a groove billed ani:
    

    Your output should be in the following format:
    <tag>feature 1</tag>
    <tag>feature 2</tag>
    ...
    <tag>feature n</tag>","<tag>a forest</tag>
<tag>a tree</tag>
<tag>a bird</tag>
<tag>a nest</tag>
<tag>insects</tag>
<tag>a branch</tag>
<tag>leaves</tag>"
