dataset,class_name,prompt,content,sentence_count
flower,passion flower flower,"Use 10 sentences to describe the what the passion flower flower looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The passion flower is a truly extraordinary bloom, often described as intricate and otherworldly.</sentence>
<sentence>Its most striking feature is a complex, star-like structure at its center.</sentence>
<sentence>Radiating outwards are numerous thread-like filaments called the corona, which can be vibrantly colored in shades of purple, pink, or white.</sentence>
<sentence>These filaments are often arranged in multiple rings, giving the flower a layered appearance.</sentence>
<sentence>Above the corona, five or more prominent petals unfurl, typically in shades of white, green, or yellow.</sentence>
<sentence>In the very center, the reproductive parts, the stamens and stigmas, stand erect and often form a prominent column.</sentence>
<sentence>The overall effect is one of delicate complexity and mesmerizing symmetry.</sentence>
<sentence>Some varieties also boast large, elaborate sepals that lie beneath the petals, adding further visual interest.</sentence>
<sentence>The colors can vary immensely between species, ranging from bold and vibrant to more subtle and pastel hues.</sentence>
<sentence>It's a flower that truly earns its name, evoking a sense of awe and wonder with its unique and captivating design.</sentence>",10
flower,passion flower flower,"Use 10 sentences to describe the the appearance of the passion flower flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The passion flower is a truly remarkable and intricately structured blossom.</sentence>
<sentence>Its most striking feature is the corona, a ring of thread-like filaments radiating from the center.</sentence>
<sentence>These filaments are often vibrantly colored, displaying shades of purple, pink, or white, and sometimes tipped with a contrasting hue.</sentence>
<sentence>Above the corona sits a prominent central disk, housing the flower's reproductive parts.</sentence>
<sentence>Five prominent petals, typically greenish-white or pale yellow, form the base of the flower, framing the elaborate corona.</sentence>
<sentence>Accompanying the petals are five sepals, often similar in color and texture, providing a supporting outer layer.</sentence>
<sentence>The overall shape is often described as complex and almost alien, with its layers and radiating elements.</sentence>
<sentence>Its appearance can vary significantly between the thousands of species, but the characteristic corona is a consistent hallmark.</sentence>
<sentence>Some varieties boast a more delicate and ethereal look, while others are bold and dramatic.</sentence>
<sentence>The passion flower's unique and captivating appearance has earned it its evocative name, suggesting a profound beauty or spiritual significance.</sentence>",10
flower,passion flower flower,"Use 10 sentences to describe the the color of the passion flower flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The passion flower presents a breathtaking spectacle of color, often dominated by vibrant purples and blues.</sentence>
<sentence>Deep indigo hues can form the base of the petals, creating a velvety richness.</sentence>
<sentence>Flashes of electric violet often radiate outwards, adding an intense energy to the bloom.</sentence>
<sentence>Within the central corona, delicate filaments unfurl in shades of white and light pink, offering a stark contrast.</sentence>
<sentence>These inner structures can also be tipped with a soft lavender or a pale, almost ethereal crimson.</sentence>
<sentence>The reproductive parts, the stamens and pistils, are frequently a vivid green, grounding the flamboyant display.</sentence>
<sentence>Sometimes, hints of fuchsia or magenta can be found blending into the petal edges, adding subtle complexity.</sentence>
<sentence>The overall impression is one of exotic beauty, a bold and intricate tapestry woven from a painter's most daring palette.</sentence>
<sentence>The deep tones evoke a sense of mystery and regal sophistication.</sentence>
<sentence>The interplay of intense purples and blues with lighter, contrasting elements makes the passion flower a truly unforgettable visual marvel.</sentence>",10
flower,passion flower flower,"Use 10 sentences to describe the the pattern of the passion flower flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The passion flower's pattern is a marvel of intricate symmetry and vibrant color.</sentence>
<sentence>At its core lies a prominent corona, a ring of delicate filaments that radiate outwards like spokes.</sentence>
<sentence>These filaments themselves are often banded with contrasting colors, creating a striped effect.</sentence>
<sentence>Above the corona, five prominent stamens and three stigmas form a raised central structure.</sentence>
<sentence>The stamens, tipped with anthers, and the stigmas, often club-shaped, are arranged in a star-like formation.</sentence>
<sentence>Surrounding this central display are five large, often showy petals, which can vary in shape from broad to lanceolate.</sentence>
<sentence>Interspersed with the petals are five sepals, which are typically leaf-like and can be similar in color or different from the petals.</sentence>
<sentence>The overall arrangement of these parts creates a radial symmetry, with elements repeating around a central axis.</sentence>
<sentence>Intricate lines and shading often adorn the petals and corona, adding depth and complexity to the visual pattern.</sentence>
<sentence>This complex yet organized arrangement serves to attract specific pollinators, making the passion flower a testament to evolutionary design.</sentence>",10
flower,passion flower flower,"Use 10 sentences to describe the the shape of the passion flower flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The passion flower boasts an intricate and complex structure, unlike any other bloom.</sentence>
<sentence>At its core lies a prominent central column, often referred to as the gynostemium.</sentence>
<sentence>Radiating outwards from this central column are five prominent stamens, each tipped with a pollen-bearing anther.</sentence>
<sentence>Above the stamens are three stigmas, the receptive tips of the pistil, which are typically flat and often curl slightly.</sentence>
<sentence>Surrounding these reproductive parts is a ring of delicate, thread-like petals, known as the corona, which can be a vibrant array of colors.</sentence>
<sentence>Beneath the corona, a set of five true petals usually unfolds, providing a contrasting backdrop.</sentence>
<sentence>These petals are often broad and can be ovate or somewhat lance-shaped.</sentence>
<sentence>Sepals, which are typically larger and more robust than the petals, form the outermost layer of the flower.</sentence>
<sentence>The entire arrangement creates a radial symmetry, appearing much like a celestial clock or an exotic timepiece.</sentence>
<sentence>The overall impression is one of layered complexity, a miniature cosmos contained within a single flower.</sentence>",10
flower,water lily flower,"Use 10 sentences to describe the what the water lily flower looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The water lily flower unfurls with a captivating elegance, a jewel gracing the surface of tranquil waters.</sentence>
<sentence>Its petals are typically broad and rounded, often forming a dense, overlapping arrangement that creates a cup-like or star-like shape.</sentence>
<sentence>The color palette is diverse, ranging from pure, pristine whites and creamy ivories to soft pinks, vibrant fuchsias, and even deep purples and yellows.</sentence>
<sentence>Some varieties boast intricate veining or subtle color gradients within their petals, adding to their visual appeal.</sentence>
<sentence>At the heart of the bloom, numerous golden-yellow stamens stand tall, clustered together and often dusted with pollen.</sentence>
<sentence>These stamens surround a central pistil, which can be a contrasting color and might have a prominent stigma.</sentence>
<sentence>The outer sepals, often a greenish or yellowish hue, provide a supportive base for the delicate petals above.</sentence>
<sentence>The fragrance of a water lily can vary, with some emitting a sweet, subtle perfume while others are nearly scentless.</sentence>
<sentence>The texture of the petals is often smooth and waxy, giving them a slightly lustrous appearance.</sentence>
<sentence>When fully open, the water lily presents a symmetrical and harmonious form, a testament to nature's artistry.</sentence>",10
flower,water lily flower,"Use 10 sentences to describe the the appearance of the water lily flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The water lily flower, a vision of aquatic grace, unfurls its petals from the tranquil surface of still waters.</sentence>
<sentence>Each bloom boasts a captivating display of vibrant colors, ranging from pristine whites and soft pinks to deep purples and sunny yellows.</sentence>
<sentence>Its petals are typically broad and ovate, often with a delicate, waxy texture that glistens in the sunlight.</sentence>
<sentence>Many varieties feature a star-like or cup-shaped formation, with the petals arranged in concentric layers.</sentence>
<sentence>At the heart of the flower lies a cluster of stamens, usually a contrasting color, adding further visual intrigue.</sentence>
<sentence>The outer sepals, often green and more robust, provide a protective base for the delicate petals.</sentence>
<sentence>Some water lilies possess a delightful fragrance, a sweet and subtle perfume that drifts on the gentle breeze.</sentence>
<sentence>The leaves of the water lily, large and round, often float alongside the blossoms, creating a picturesque scene.</sentence>
<sentence>The overall impression is one of serene beauty and natural elegance, a jewel adorning the aquatic landscape.</sentence>
<sentence>The water lily flower, with its simple yet profound beauty, embodies tranquility and renewal.</sentence>",10
flower,water lily flower,"Use 10 sentences to describe the the color of the water lily flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The water lily often presents a vision of ethereal beauty, its petals radiating a soft, translucent glow.</sentence>
<sentence>Many water lilies boast a pristine, snowy white, evoking a sense of purity and tranquility.</sentence>
<sentence>Others are awash in delicate shades of pink, ranging from the palest blush to a vibrant, rosy hue.</sentence>
<sentence>A softer, peach-toned variant can also be found, lending a warm and gentle presence to the water's surface.</sentence>
<sentence>Some water lilies shimmer with a sophisticated creamy yellow, reminiscent of the setting sun.</sentence>
<sentence>Occasionally, a deep, velvety crimson appears, adding a dramatic and passionate accent.</sentence>
<sentence>The edges of petals might subtly transition in shade, creating an ombre effect that enhances their natural grace.</sentence>
<sentence>Under dappled sunlight, the colors seem to deepen and shift, revealing a subtle iridescence.</sentence>
<sentence>The texture of the petals themselves often contributes to the perception of color, appearing smooth and almost waxy.</sentence>
<sentence>Ultimately, the water lily's color is a captivating interplay of light, form, and pigment, a true jewel of the aquatic world.</sentence>",10
flower,water lily flower,"Use 10 sentences to describe the the pattern of the water lily flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The water lily flower, a marvel of aquatic botany, displays a captivating pattern of radial symmetry.</sentence>
<sentence>Its petals are arranged in concentric whorls, radiating outwards from a central core.</sentence>
<sentence>Each petal, though often similar in shape and size within a given whorl, can exhibit subtle variations.</sentence>
<sentence>The number of petals often follows mathematical sequences, hinting at underlying geometric principles.</sentence>
<sentence>While many water lilies possess numerous petals, some species present a more simplified, almost sparse arrangement.</sentence>
<sentence>The vibrant colors of the petals further enhance the visual pattern, creating striking contrasts or harmonious blends.</sentence>
<sentence>The arrangement allows for efficient capture of sunlight, crucial for the plant's photosynthesis.</sentence>
<sentence>Even the stamens and pistils at the flower's center contribute to the intricate, star-like design.</sentence>
<sentence>The unfurling of the bud reveals a gradual unfolding of these patterned layers.</sentence>
<sentence>This organized yet organically beautiful structure makes the water lily a consistent and beloved motif in art and nature.</sentence>",10
flower,water lily flower,"Use 10 sentences to describe the the shape of the water lily flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The water lily flower boasts a symmetrical, star-like form.</sentence>
<sentence>Its petals are arranged in neat, radiating layers, giving it a sense of order.</sentence>
<sentence>The overall shape is typically flat or gently cupped, designed to float on the water's surface.</sentence>
<sentence>Each petal tapers to a point, contributing to the overall spiky or pointed outline.</sentence>
<sentence>The center of the flower often reveals a dense cluster of stamens, forming a circular or oval hub.</sentence>
<sentence>While often described as simple, the layered nature of the petals adds a subtle complexity to its silhouette.</sentence>
<sentence>Some varieties may exhibit a more open and spreading form, while others are more tightly closed.</sentence>
<sentence>The outer sepals, often greener, provide a foundational cup beneath the more colorful petals.</sentence>
<sentence>This structure allows the flower to capture abundant sunlight for photosynthesis.</sentence>
<sentence>Ultimately, the water lily's shape is an elegant adaptation for its aquatic environment, both beautiful and functional.</sentence>",10
