dataset,class_name,prompt,content,sentence_count
food,apple pie,"Use 10 sentences to describe the what the apple pie looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The apple pie sat proudly on its ceramic dish, a golden beacon of comfort.</sentence>
<sentence>Its crust was a masterpiece of woven lattice strips, golden brown and slightly puffed.</sentence>
<sentence>Beneath the intricate web of dough, glimpses of a rich, dark filling could be seen.</sentence>
<sentence>The edges of the crust were crimped with a delicate, uneven pattern, hinting at homemade charm.</sentence>
<sentence>Small bubbles had formed on the surface of the lattice during baking, creating a slightly blistered texture.</sentence>
<sentence>A faint dusting of sugar sparkled across the entire pie, catching the light like tiny diamonds.</sentence>
<sentence>As it cooled, a thin sheen of moisture had settled in some of the crevices, suggesting juicy apples within.</sentence>
<sentence>The overall color was a warm, inviting caramel hue, deepened where the crust had browned more intensely.</sentence>
<sentence>Steam gently curled upwards, an invisible testament to its recent time in the oven.</sentence>
<sentence>It presented a rustic yet beautiful appearance, promising a delightful, sweet reward.</sentence>",10
food,apple pie,"Use 10 sentences to describe the the appearance of the apple pie:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The apple pie sat proudly on its ceramic pie plate, a testament to homemade goodness.</sentence>
<sentence>A crimped, golden-brown crust formed a beautiful, slightly uneven border around the filling.</sentence>
<sentence>This lattice-top crust revealed glimpses of the bubbling, spiced apple filling beneath.</sentence>
<sentence>The edges of the crust were a deep, inviting amber, hinting at a perfect bake.</sentence>
<sentence>Here and there, tiny vents in the lattice allowed tendrils of steam to escape, carrying a sweet aroma.</sentence>
<sentence>The apples themselves, peeking through the openings, appeared tender and slightly caramelized.</sentence>
<sentence>A dusting of sugar, some of it sparkling like tiny diamonds, adorned the entire surface.</sentence>
<sentence>The overall impression was one of rustic charm and comforting warmth.</sentence>
<sentence>The pie's surface was not perfectly uniform, showcasing the natural imperfections of a lovingly crafted dessert.</sentence>
<sentence>It radiated a delicious promise, its appearance anticipating the first warm, sweet bite.</sentence>",10
food,apple pie,"Use 10 sentences to describe the the color of the apple pie:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The apple pie crust boasted a deep, inviting golden-brown hue, reminiscent of autumn sunlight.</sentence>
<sentence>Edges of the lattice top were kissed with a darker, almost caramelized brown, hinting at crispiness.</sentence>
<sentence>Beneath the airy lattice, the filling revealed a softer, warm amber, tinged with the blush of baked apples.</sentence>
<sentence>Subtle variations in color showed where the apple slices had slightly browned, adding depth and texture.</sentence>
<sentence>A faint sheen of melted butter or egg wash gave the entire surface a gentle gloss.</sentence>
<sentence>The very center, where the filling was most abundant, appeared a rich, honeyed ochre.</sentence>
<sentence>Juice seepage created darker, almost translucent patches along the seams of the crust.</sentence>
<sentence>Speckles of cinnamon and nutmeg were visible as tiny, darker brown flecks scattered across the top.</sentence>
<sentence>The overall impression was one of warmth, comfort, and delicious ripeness.</sentence>
<sentence>It was a palette of comforting earthy tones, promising sweetness and spice.</sentence>",10
food,apple pie,"Use 10 sentences to describe the the pattern of the apple pie:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The apple pie exhibits a distinct crust pattern, forming a lattice or woven design on its surface.</sentence>
<sentence>Thin, uniform strips of dough are meticulously interwoven to create this characteristic top crust.</sentence>
<sentence>These strips are typically laid perpendicular to each other, forming a grid-like foundation.</sentence>
<sentence>The edges of the pie crust are often crimped or fluted, providing a decorative and secure seal.</sentence>
<sentence>The lattice pattern allows for steam to escape during baking, preventing the crust from becoming soggy.</sentence>
<sentence>Gaps between the dough strips reveal glimpses of the bubbling apple filling beneath.</sentence>
<sentence>The overall impression is one of rustic charm and homemade care.</sentence>
<sentence>The golden-brown hue of the baked dough contrasts beautifully with the deeper tones of the apple filling.</sentence>
<sentence>The precision of the weaving suggests a deliberate and artistic approach to pie making.</sentence>
<sentence>This recognizable pattern is a hallmark of a classic, well-executed apple pie.</sentence>",10
food,apple pie,"Use 10 sentences to describe the the shape of the apple pie:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The apple pie is a classic circular confection, a delightful disc of baked goodness.</sentence>
<sentence>Its outer boundary is defined by a crisp, golden-brown crust, typically braided or crimped.</sentence>
<sentence>Within this perimeter, the filling is generously mounded, creating a gentle, convex dome.</sentence>
<sentence>The top crust often features decorative cutouts or a latticework pattern, revealing glimpses of the sweet apple interior.</sentence>
<sentence>As it bakes, the edges soften slightly, forming a pleasing, rounded transition to the plate.</sentence>
<sentence>When sliced, the pie reveals a layered structure: a base crust, a substantial layer of cooked apples, and the top crust.</sentence>
<sentence>The filling itself is not uniformly flat but possesses a natural undulation from the softened fruit.</sentence>
<sentence>Even as a whole, its shape suggests a contained yet abundant offering, ready to be shared.</sentence>
<sentence>The curve of the pie evokes a sense of comfort and homemade tradition.</sentence>
<sentence>Ultimately, the apple pie's shape is one of comforting familiarity and inviting roundness.</sentence>",10
food,baby back ribs,"Use 10 sentences to describe the what the baby back ribs looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The baby back ribs possess a beautifully rendered, glistening exterior, often coated in a sticky, caramelized glaze.</sentence>
<sentence>A rich, dark mahogany hue dominates their surface, hinting at a slow, tender cooking process.</sentence>
<sentence>The bone structure is clearly visible, with arcs of pale bone peeking through the succulent meat.</sentence>
<sentence>A subtle char or smoke ring might be present on the outer edges, adding visual depth and flavor complexity.</sentence>
<sentence>The meat itself appears incredibly tender, with a marbling of fat that promises a melt-in-your-mouth experience.</sentence>
<sentence>Some ribs might exhibit a slight pull-back of the meat from the bone, a telltale sign of perfect doneness.</sentence>
<sentence>Depending on the preparation, a sprinkle of herbs or spices could be visible, adding flecks of green or red against the darker meat.</sentence>
<sentence>The overall shape is curved and meaty, fitting comfortably in the palm of a hand.</sentence>
<sentence>Juices glisten on the surface, suggesting a moist and flavorful bite.</sentence>
<sentence>Each rib is a distinct segment, showcasing the individual portions of this delectable cut of pork.</sentence>",10
food,baby back ribs,"Use 10 sentences to describe the the appearance of the baby back ribs:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The baby back ribs presented a visually appealing tableau of cooked perfection.</sentence>
<sentence>Each rib displayed a beautiful, deep mahogany color, hinting at a rich, caramelized glaze.</sentence>
<sentence>The surface shimmered slightly, reflecting the ambient light from a carefully applied barbecue sauce.</sentence>
<sentence>A delicate charring was evident along the edges of some ribs, adding textural contrast and a touch of smoky allure.</sentence>
<sentence>The meat itself appeared incredibly tender, with a slightly pulled-back look from the bone.</sentence>
<sentence>A glossy sheen coated the majority of the ribs, promising a succulent and juicy bite.</sentence>
<sentence>Some of the ribs were generously coated, while others showcased a more minimalist saucing, allowing the natural meat color to peek through.</sentence>
<sentence>Occasional flecks of dark seasoning, like pepper or paprika, were visible against the glistening sauce.</sentence>
<sentence>The overall impression was one of hearty, satisfying, and expertly prepared barbecue.</sentence>
<sentence>They exuded an irresistible aroma and a tempting visual promise of melt-in-your-mouth deliciousness.</sentence>",10
food,baby back ribs,"Use 10 sentences to describe the the color of the baby back ribs:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The baby back ribs boasted a rich, appealing mahogany hue, hinting at a slow and flavorful cooking process.</sentence>
<sentence>A deep, glossy sheen coated the surface, reflecting the light and promising tender, succulent meat.</sentence>
<sentence>Hints of dark cherry and burnt umber swirled together, creating a complex and inviting color palette.</sentence>
<sentence>The char marks, where they appeared, added streaks of almost black, a testament to the caramelization of sugars.</sentence>
<sentence>Beneath the darker exterior, a subtle blush of pink peeked through, indicating a perfectly cooked interior without being overly rare.</sentence>
<sentence>The bone itself was a creamy white, providing a stark yet natural contrast to the richly colored meat surrounding it.</sentence>
<sentence>A light dusting of spices had settled, adding flecks of paprika red and pepper black, further deepening the overall visual appeal.</sentence>
<sentence>The fat rendered during cooking had intensified the color, creating areas of lighter, almost translucent amber.</sentence>
<sentence>The color was not uniform, but rather a beautiful gradient, moving from darker, more caramelized edges to a slightly lighter, juicy center.</sentence>
<sentence>Overall, the color of the baby back ribs was a visual masterpiece, a promise of deliciousness that stimulated the appetite.</sentence>",10
food,baby back ribs,"Use 10 sentences to describe the the pattern of the baby back ribs:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The baby back ribs exhibit a distinct, repeating pattern along their length.</sentence>
<sentence>Each rib bone is clearly delineated by a layer of tender meat above it.</sentence>
<sentence>A thin, often slightly chewy membrane can be observed on the underside of the rack.</sentence>
<sentence>The meat itself displays varying shades of pink and red, indicating richness and moisture.</sentence>
<sentence>Interspersed within the meat are delicate streaks of fat, contributing to the overall succulence.</sentence>
<sentence>The surface of the ribs is typically coated in a savory rub, creating a textured crust.</sentence>
<sentence>This rub often contains visible specks of spices, adding visual interest.</sentence>
<sentence>When viewed from the side, the curved shape of each bone becomes evident.</sentence>
<sentence>The overall impression is one of layered textures and appealing color variations.</sentence>
<sentence>This characteristic pattern is a hallmark of well-prepared baby back ribs, promising a delicious experience.</sentence>",10
food,baby back ribs,"Use 10 sentences to describe the the shape of the baby back ribs:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>Baby back ribs possess a captivating, elongated, and curved structure.</sentence>
<sentence>They exhibit a pleasing, bow-like arc, resembling a gentle crescent moon.</sentence>
<sentence>Each rib is a slender, tapering bone, growing progressively narrower towards one end.</sentence>
<sentence>The overall arrangement forms a distinct tier or layering effect when laid side-by-side.</sentence>
<sentence>The meat that clings to these bones contributes to their characteristic, voluptuous contour.</sentence>
<sentence>They feature a prominent, smooth curvature along their length, suggesting movement and flow.</sentence>
<sentence>The shape is inherently organic, mirroring the natural architecture of a pork loin.</sentence>
<sentence>They are often described as having a somewhat flattened, ribbon-like profile.</sentence>
<sentence>The bone itself is somewhat uniform in thickness for most of its length before tapering.</sentence>
<sentence>Collectively, the arrangement of baby back ribs presents a visually appealing, segmented, and elegantly curved form.</sentence>",10
food,baklava,"Use 10 sentences to describe the what the baklava looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>Baklava presents a visually rich and inviting appearance, a testament to its layered construction.</sentence>
<sentence>Its surface is a mosaic of golden-brown, shimmering with a delicate sheen.</sentence>
<sentence>Thin, flaky layers of phyllo dough are stacked meticulously, hinting at the crispness within.</sentence>
<sentence>These layers are often cut into diamond or square shapes, creating a geometric pattern.</sentence>
<sentence>A generous soaking of syrup, often a honey-based elixir, imbues the entire confection with a glossy finish.</sentence>
<sentence>Visible on the surface, and sometimes embedded deep within, are chopped nuts, typically walnuts or pistachios.</sentence>
<sentence>The nuts provide a textural contrast and add flecks of earthy green or rich brown to the golden landscape.</sentence>
<sentence>Sometimes, rosewater or orange blossom water is infused into the syrup, lending a subtle aroma that hints at its exotic origin.</sentence>
<sentence>The edges of the baklava often show a delightful crispness, a slight variation in color from the more saturated center.</sentence>
<sentence>Overall, baklava is a visually appealing dessert, a golden treasure trove promising sweet, nutty indulgence.</sentence>",10
food,baklava,"Use 10 sentences to describe the the appearance of the baklava:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>Baklava presents a visually appealing, layered dessert with a golden-brown hue.</sentence>
<sentence>Its surface is typically glistening, reflecting the rich butter and syrup that coats it.</sentence>
<sentence>Beneath the sheen, a delicate crust of paper-thin phyllo dough is evident, hinting at its crisp texture.</sentence>
<sentence>The top layer often boasts a scattering of finely chopped nuts, usually pistachios or walnuts, adding a speckled texture.</sentence>
<sentence>These nuts, often vibrant green or earthy brown, create a pleasing contrast against the golden pastry.</sentence>
<sentence>Individual pieces are cut into neat diamonds or squares, revealing the intricate internal structure.</sentence>
<sentence>When viewed from the side, the stacked layers of dough and filling create a visually satisfying thickness.</sentence>
<sentence>A subtle moisture can be seen clinging to the pastry, suggesting its syrupy succulence.</sentence>
<sentence>The edges of each piece might appear slightly caramelized, offering darker, richer shades.</sentence>
<sentence>Overall, baklava is a tempting display of golden pastry, nutty textures, and glistening sweetness.</sentence>",10
