dataset,class_name,prompt,content,sentence_count
CUB,black footed albatross,"Use 10 sentences to describe the what the black footed albatross looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The black-footed albatross is a large, majestic seabird with a primarily dark plumage.</sentence>
<sentence>Its body, wings, and tail are a uniform sooty blackish-brown, giving it a sleek appearance.</sentence>
<sentence>The most distinctive feature is its feet, which are a pale pinkish-gray and noticeably black-webbed.</sentence>
<sentence>This webbing extends all the way to the end of its toes, hence its name.</sentence>
<sentence>Its head is also the same dark color as its body, with no significant contrasting markings.</sentence>
<sentence>The beak is stout and powerfully built, typically a horn-colored yellow with a dark tip.</sentence>
<sentence>While its plumage is predominantly dark, the wingtips can sometimes appear slightly paler due to wear.</sentence>
<sentence>Their large size is evident, with a considerable wingspan that can reach over seven feet.</sentence>
<sentence>The eyes are dark and appear as small, beady points against their dark feathered faces.</sentence>
<sentence>Overall, the black-footed albatross presents a somber, elegant silhouette against the vast ocean backdrop.</sentence>",10
CUB,black footed albatross,"Use 10 sentences to describe the the appearance of the black footed albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The black-footed albatross is a large, dark seabird with an impressive wingspan.</sentence>
<sentence>Its plumage is predominantly a deep, sooty brown, almost black, especially on its back and wings.</sentence>
<sentence>The belly and undertail coverts are slightly lighter, offering a subtle contrast to its darker upperparts.</sentence>
<sentence>A distinctive feature is their uniformly dark body, lacking any significant white markings.</sentence>
<sentence>Their bill is large and stout; typically a pale horn color with a dark tip, giving it a two-toned appearance.</sentence>
<sentence>The legs and feet are a dark gray or black, which is the origin of their common name.</sentence>
<sentence>When viewed from below, their dark wings contrast starkly against the often bright ocean sky.</sentence>
<sentence>Young birds are very similar in appearance to adults, with only slight variations in plumage development.</sentence>
<sentence>Their eyes are dark, giving them an intense gaze that suits their pelagic lifestyle.</sentence>
<sentence>Overall, the black-footed albatross presents a striking and uniform dark silhouette against the vast expanse of the ocean.</sentence>",10
CUB,black footed albatross,"Use 10 sentences to describe the the color of the black footed albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The black-footed albatross primarily displays a dark, dusky brown coloration.</sentence>
<sentence>This deep brown extends across its back and wings, giving it a somber appearance.</sentence>
<sentence>The underside of its body, including the belly and breast, is also a rich, dark brown.</sentence>
<sentence>Even its head and neck are saturated with this characteristic dark hue.</sentence>
<sentence>The beak, though stout, often appears dark, blending with the surrounding feathers.</sentence>
<sentence>Its legs and feet, the namesake feature, are a contrasting black, a starker shade than its body.</sentence>
<sentence>Juveniles of the species tend to be a slightly lighter shade of brown, but still predominantly dark.</sentence>
<sentence>There are no stark white markings or distinct color patterns that break up the uniform brown of its plumage.</sentence>
<sentence>This deep, all-encompassing brown provides excellent camouflage against the dark ocean waters.</sentence>
<sentence>The overall impression is one of a uniformly dark-bodied seabird, with the exception of its strikingly black feet.</sentence>",10
CUB,black footed albatross,"Use 10 sentences to describe the the pattern of the black footed albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The black-footed albatross exhibits a striking, mostly uniform dark brown plumage across its body and wings.</sentence>
<sentence>The most distinguishing feature, as the name suggests, is its entirely black feet and legs.</sentence>
<sentence>Adults often display paler, grayish-brown shading on their underwings, creating a subtle contrast during flight.</sentence>
<sentence>The head is also uniformly dark, lacking any significant markings or lighter patches.</sentence>
<sentence>Its bill is a dark horn color, adding to the overall melanistic appearance.</sentence>
<sentence>Juvenile birds are very similar to adults, often indistinguishable without close examination.</sentence>
<sentence>The albatross's dark coloration provides excellent camouflage against the ocean's surface from predators below.</sentence>
<sentence>In bright sunlight, there can be very subtle iridescence or sheen on the feathers, but these are not pronounced patterns.</sentence>
<sentence>The wings are long and narrow, adapted for efficient gliding over vast ocean distances.</sentence>
<sentence>Overall, the black-footed albatross is characterized by its consistent dark coloration, with the exception of its contrasting black feet.</sentence>",10
CUB,black footed albatross,"Use 10 sentences to describe the the shape of the black footed albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The black-footed albatross possesses a predominantly dark, sooty-brown plumage across its entire body.</sentence>
<sentence>Its wings are long, narrow, and pointed, designed for efficient gliding over vast ocean expanses.</sentence>
<sentence>The upper surface of the wings is a deep, uniform brown, while the underside may show subtle lighter shading.</sentence>
<sentence>A distinctive feature is its large, robust bill, which is thick and hooked at the tip, colored a pale yellowish-horn with a black tip.</sentence>
<sentence>The tail is relatively short and broadly rounded, contributing to its overall streamlined appearance.</sentence>
<sentence>Its legs and feet are dark gray to black, hence its common name, and are webbed for aquatic locomotion.</sentence>
<sentence>The body is substantial and somewhat heavy-looking, reflecting its large size and strong build.</sentence>
<sentence>When in flight, the albatross appears as a dark silhouette against the sky, with its broad wings held stiff and slightly bowed.</sentence>
<sentence>The overall form is exceptionally aerodynamic, built for endurance and long-distance travel.</sentence>
<sentence>Its shape is a testament to its adaptations for a pelagic lifestyle, prioritizing efficient soaring and gliding over agility.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the what the laysan albatross looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Laysan albatross is a medium-sized seabird, recognizable by its large size and graceful appearance.</sentence>
<sentence>Its plumage is predominantly a striking white on its underside and back, creating a stark contrast.</sentence>
<sentence>The upper wings are dark brown or black, providing a bold outline against the sky.</sentence>
<sentence>A key distinguishing feature is the pale gray or smoky coloration of its head and nape.</sentence>
<sentence>These birds possess an exceptionally long, narrow, and pointed bill, perfectly adapted for catching fish and squid.</sentence>
<sentence>The bill itself is typically pale yellow or ivory in color, sometimes with a pinkish tinge.</sentence>
<sentence>Their eyes are dark and appear relatively small in proportion to their broad faces.</sentence>
<sentence>The Laysan albatross has long, slender, and black legs and feet, which are mostly hidden when in flight.</sentence>
<sentence>When perched, their posture is generally upright and somewhat stately.</sentence>
<sentence>The overall impression is of an elegant and powerful flyer, built for life at sea.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the the appearance of the laysan albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Laysan albatross is a medium-sized seabird, easily recognizable by its striking plumage.</sentence>
<sentence>Its back and wings are a deep, dusky brown, creating a stark contrast with its brilliant white underparts.</sentence>
<sentence>The head is predominantly white, often featuring a pale grayish wash on the nape and crown.</sentence>
<sentence>A distinctive characteristic is the large, pinkish-gray bill, which is strong and perfectly adapted for catching fish and squid.</sentence>
<sentence>Its eyes are dark and appear prominently against its white facial feathers, giving it an alert expression.</sentence>
<sentence>The legs and feet are a pale pinkish-gray, with the feet being webbed, ideal for paddling in the ocean.</sentence>
<sentence>When in flight, its long, narrow wings are held stiffly, giving it an elegant and gliding appearance over the waves.</sentence>
<sentence>The tail is usually short and somewhat rounded.</sentence>
<sentence>Juvenile Laysan albatrosses are similar to adults but may have slightly less defined markings.</sentence>
<sentence>The overall impression is of a graceful, well-adapted marine bird with a clean and striking color pattern.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the the color of the laysan albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Laysan albatross displays a predominantly pearly white plumage across its underside.</sentence>
<sentence>Its upperparts, including the back and wings, are a soft, slate gray.</sentence>
<sentence>The wings themselves are long and elegantly shaped, with a darker gray or blackish edging that emphasizes their outline.</sentence>
<sentence>A distinctive feature is the dusky gray smudge around the eye, giving it a perpetually sleepy or thoughtful expression.</sentence>
<sentence>The head is generally a clean white, though it can be subtly marked with pale gray on the crown.</sentence>
<sentence>Its bill is a pale yellowish-horn color, sometimes appearing almost white in certain lighting conditions.</sentence>
<sentence>The legs and feet are typically a pale pinkish-gray.</sentence>
<sentence>When in flight, the contrast between the white belly and the dark wingtips is striking against the ocean's expanse.</sentence>
<sentence>Juveniles often have a more mottled or grayish appearance, gradually gaining the adult's clearer coloration with age.</sentence>
<sentence>Overall, the Laysan albatross's coloration is subtle and masterful for camouflage against the sky and sea.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the the pattern of the laysan albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>Laysan albatrosses exhibit a remarkable, synchronized pattern of life centered around their remote island breeding grounds.</sentence>
<sentence>Their year is broadly divided into two distinct phases: breeding and non-breeding.</sentence>
<sentence>During the breeding season, pairs return to the same colony year after year, often reuniting with their mate.</sentence>
<sentence>Vigorous courtship rituals, involving intricate dances and vocalizations, mark the beginning of their reproductive cycle.</sentence>
<sentence>Once an egg is laid, both parents meticulously share incubation duties, taking turns on the nest.</sentence>
<sentence>The chick-rearing phase is equally demanding, requiring constant foraging trips to gather food for the growing young.</sentence>
<sentence>Following the fledging of their chick, the adult albatrosses depart, leaving the young to fend for themselves.</sentence>
<sentence>Their non-breeding period is spent at sea, where they roam vast expanses of the Pacific Ocean, following prevailing currents.</sentence>
<sentence>These pelagic journeys are characterized by continuous flight, with albatrosses sleeping and feeding on the wing.</sentence>
<sentence>This cyclical pattern of dedicated nesting and extensive oceanic foraging is fundamental to the survival of the Laysan albatross.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the the shape of the laysan albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Laysan Albatross possesses a striking, elegant wingspan that dominates its overall silhouette.</sentence>
<sentence>Its body is relatively compact and streamlined, designed for efficient flight through the air.</sentence>
<sentence>The wings are long, narrow, and pointed, tapering to a fine tip.</sentence>
<sentence>When at rest, these wings are folded neatly along its back.</sentence>
<sentence>The bird's head is proportionally sized to its body, often held with a serene and watchful expression.</sentence>
<sentence>Its beak is strong and hooked, a formidable tool adapted for catching marine prey.</sentence>
<sentence>The body plumage is typically a pale gray or white, providing a stark contrast to the dark wingtips.</sentence>
<sentence>Its legs are short and set far back on its body, making it somewhat awkward on land.</sentence>
<sentence>The tail is short and wedge-shaped, aiding in steering during its aerial maneuvers.</sentence>
<sentence>Overall, the Laysan Albatross presents a shape optimized for long-distance soaring over the open ocean.</sentence>",10
