dataset,class_name,prompt,content
CIFAR10,airplane,"Use 10 sentences to describe the what the airplane looks like:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The sleek, silver fuselage stretched out long and slender, a testament to aerodynamic design.</sentence>
<sentence>Two massive, swept-back wings, painted with bold airline colors, extended outwards from the midsection.</sentence>
<sentence>Beneath each wing, a powerful jet engine, a gleaming metallic pod, was prominently mounted.</sentence>
<sentence>A tall, distinctive tail fin rose vertically at the rear, providing directional stability.</sentence>
<sentence>Attached to the tail fin were smaller horizontal stabilizer wings, adding to the craft's elegant silhouette.</sentence>
<sentence>Numerous windows, arranged uniformly along the sides of the fuselage, offered glimpses of the cabin within.</sentence>
<sentence>The nose cone was sharply pointed, designed to cut through the air with minimal resistance.</sentence>
<sentence>Landing gear, retracted during flight, was visible as sturdy struts tucked neatly away.</sentence>
<sentence>The overall impression was one of immense power and graceful motion, even when stationary.</sentence>
<sentence>Every line and curve of its construction spoke of advanced engineering and the ambition of flight.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the appearance of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","Here are 10 sentences describing the appearance of an airplane:

<sentence>The airplane was a sleek, silver bird of prey, its fuselage gleaming under the harsh airport lights.</sentence>
<sentence>Its wings stretched wide, a beautiful airfoil design that promised effortless flight.</sentence>
<sentence>Two powerful engines, mounted beneath the wings, protruded like metallic arms, ready to unleash their might.</sentence>
<sentence>The cockpit windows, a dark, almost obsidian band, hinted at the complex technology within.</sentence>
<sentence>A slender tail, adorned with the airline's distinctive logo, provided stability and direction.</sentence>
<sentence>Numerous small windows dotted the sides of the fuselage, hinting at the passengers who would soon fill its belly.</sentence>
<sentence>The landing gear, robust and sturdy, retracted neatly into the body, a testament to its engineering.</sentence>
<sentence>The overall shape was one of aerodynamic efficiency, designed to cut through the air with minimal resistance.</sentence>
<sentence>Even at rest, the airplane exuded an aura of power and sophisticated engineering.</sentence>
<sentence>Its polished exterior reflected the surrounding tarmac, a mirror to its imminent journey.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the color of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane gleamed with a pristine, almost blinding white, a blank canvas against the azure sky.</sentence>
<sentence>This dominant white was not a flat, sterile shade, but possessed a subtle pearlescence that caught and reflected the sunlight.</sentence>
<sentence>Along its fuselage, thin, elegant lines of polished chrome traced a path, adding a touch of sophistication.</sentence>
<sentence>The wingtips, however, broke the uniformity with a vibrant splash of a rich, deep crimson.</sentence>
<sentence>This striking red contrasted beautifully with the white, drawing the eye and suggesting speed and power.</sentence>
<sentence>The underbelly was a slightly softer, muted grey, practical for ground operations and less prone to showing dirt.</sentence>
<sentence>Even the rivets and panel lines were subtly outlined, hinting at the intricate engineering beneath the surface.</sentence>
<sentence>The windows of the cockpit were tinted a dark, smoky grey, obscuring the interior and adding an air of mystery.</sentence>
<sentence>Overall, the color scheme was a masterful blend of classic elegance and bold statements.</sentence>
<sentence>It was a livery that spoke of professionalism, ambition, and the boundless expanse it was destined to conquer.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the pattern of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane sports a sleek, aerodynamic design, prioritizing speed and efficiency.</sentence>
<sentence>Its fuselage is painted a pristine white, offering a clean and classic canvas.</sentence>
<sentence>Bold, royal blue stripes run along the length of the aircraft, creating a dynamic visual flow.</sentence>
<sentence>These stripes taper towards the tail, emphasizing the plane's forward motion.</sentence>
<sentence>The wings are a deep, matte black, providing a striking contrast to the white body.</sentence>
<sentence>On the tail fin, a prominent emblem is displayed, featuring a stylized silver wing against a blue background.</sentence>
<sentence>Small, strategically placed red accent lines outline the edges of the wings and control surfaces.</sentence>
<sentence>The windows are tinted a dark gray, offering a uniform band along the passenger cabin.</sentence>
<sentence>The landing gear doors are also painted the same deep black as the wings.</sentence>
<sentence>Overall, the pattern is sophisticated and modern, conveying a sense of power and reliability.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the shape of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane's primary shape is that of a long, slender cylinder, forming its fuselage.</sentence>
<sentence>Attached to this central body are two large, swept-back wings that extend horizontally outward.</sentence>
<sentence>These wings taper from a wider root near the fuselage to a thinner tip.</sentence>
<sentence>At the rear of the fuselage, a vertical stabilizer, or tail fin, rises prominently.</sentence>
<sentence>Flanking the vertical stabilizer are horizontal stabilizers, also known as tailplanes, providing pitch control.</sentence>
<sentence>Beneath the fuselage, a retractable set of landing gear is typically housed when in flight.</sentence>
<sentence>The nose of the airplane typically features a pointed or rounded cone shape, often housing the cockpit.</sentence>
<sentence>Along the trailing edge of the wings are control surfaces like ailerons and flaps, designed to alter airflow.</sentence>
<sentence>The overall silhouette is one of aerodynamic efficiency, designed for cutting through the air.</sentence>
<sentence>Engine nacelles, housing the powerful jet engines, are usually mounted beneath the wings or on the rear fuselage.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the what the automobile looks like:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile gleamed under the afternoon sun, its polished cherry-red paint reflecting the surrounding cityscape.</sentence>
<sentence>Its body was a sleek, aerodynamic sculpture, designed to cut through the air with minimal resistance.</sentence>
<sentence>Large, chrome-accented headlights, resembling watchful eyes, were integrated seamlessly into the front fascia.</sentence>
<sentence>A wide, aggressive grille hinted at the power lurking beneath the hood, a dark, textured maw.</sentence>
<sentence>The doors featured flush-fitting handles that popped out at a touch, maintaining the vehicle's smooth lines.</sentence>
<sentence>Tinted windows provided a sense of privacy and added to the car's mysterious allure.</sentence>
<sentence>The wheels were large, intricate alloys, showcasing a complex spoke design that spun with a captivating blur.</sentence>
<sentence>A subtle spoiler extended from the rear, enhancing its sporty profile and hinting at its performance capabilities.</sentence>
<sentence>The tail lights were thin, horizontal LED strips, which illuminated with a sharp, modern glow.</sentence>
<sentence>Overall, the automobile presented an image of sophisticated power and cutting-edge design.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the appearance of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile gleamed under the afternoon sun, its polished obsidian paint reflecting the surrounding trees like a dark mirror.</sentence>
<sentence>Its silhouette was a study in aerodynamic aggression, a low-slung profile that hinted at immense speed.</sentence>
<sentence>Sharp, angular lines defined its body, flowing seamlessly from the aggressive front fascia to the tapered rear.</sentence>
<sentence>The headlights, a pair of piercing emerald LEDs, seemed to be watching the road ahead with an intense gaze.</sentence>
<sentence>Chrome accents tastefully highlighted the door handles and the twin exhaust pipes that promised a powerful rumble.</sentence>
<sentence>Large, intricate alloy wheels, finished in a gunmetal grey, were shod with wide, low-profile tires.</sentence>
<sentence>The panoramic glass roof extended almost the entire length of the cabin, offering an unimpeded view of the sky.</sentence>
<sentence>Subtle venting behind the front wheels suggested advanced cooling systems, crucial for its performance.</sentence>
<sentence>The rear spoiler, an integrated part of the trunk lid, added a final touch of sporty refinement.</sentence>
<sentence>Overall, the vehicle exuded an aura of sophisticated power and cutting-edge design.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the color of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile shimmered with a deep, obsidian black.</sentence>
<sentence>It absorbed the light, appearing almost velvety in its intensity.</sentence>
<sentence>Under direct sunlight, subtle hints of midnight blue seemed to emerge from its darkness.</sentence>
<sentence>The paint was so reflective that it mirrored the surrounding environment with remarkable clarity.</sentence>
<sentence>Shadows clung to its contours, emphasizing its sleek and aggressive lines.</sentence>
<sentence>When wet, the black deepened, becoming a glossy, liquid expanse.</sentence>
<sentence>It possessed a timeless elegance, a classic choice that never goes out of style.</sentence>
<sentence>Dust settled on its surface, muting the otherwise striking hue to a charcoal gray.</sentence>
<sentence>The black car exuded an aura of understated power and sophistication.</sentence>
<sentence>This particular shade of black was both commanding and mysterious, drawing the eye with its profound depth.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the pattern of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile’s design features a sleek, aerodynamic profile that hints at its performance capabilities.</sentence>
<sentence>A prominent grille at the front draws the eye, leading into sharp, angular headlights that exude a modern and aggressive stance.</sentence>
<sentence>The body panels exhibit a strong, flowing character line that stretches from the front fenders to the rear, creating a sense of dynamic motion even at rest.</sentence>
<sentence>Wheel arches are well-defined, housing striking alloy wheels that complement the vehicle’s sporty aesthetic.</sentence>
<sentence>The roofline subtly tapers towards the rear, contributing to both its visual appeal and aerodynamic efficiency.</sentence>
<sentence>Horizontal taillights stretch across the rear, offering a distinctive and recognizable signature.</sentence>
<sentence>A sculpted rear bumper incorporates subtle diffusers, suggesting a focus on handling and stability.</sentence>
<sentence>The overall impression is one of refined power and contemporary elegance.</sentence>
<sentence>Every curve and contour seems meticulously crafted to enhance both form and function.</sentence>
<sentence>It presents a cohesive and visually compelling statement of automotive design.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the shape of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile presents a sleek and aerodynamic silhouette.</sentence>
<sentence>Its body is characterized by flowing lines that suggest speed and motion.</sentence>
<sentence>The front end features a distinctive grille, often a focal point of its design.</sentence>
<sentence>Headlights are typically integrated seamlessly, accentuating the car's expressive face.</sentence>
<sentence>The cabin is enclosed by a panoramic roof or a series of windows, offering ample visibility.</sentence>
<sentence>The sides of the car exhibit sculpted curves and subtle creases, adding depth and visual interest.</sentence>
<sentence>Wheels are positioned at the extremities, contributing to the vehicle's planted stance.</sentence>
<sentence>The rear of the automobile tapers gracefully, housing taillights that echo the front's design language.</sentence>
<sentence>An optional spoiler may grace the rear, enhancing both aesthetics and performance.</sentence>
<sentence>Overall, the shape is a sophisticated blend of form and function, designed for both beauty and efficiency.</sentence>"
